New York City


Sex and Age
 Show Reliability Data,Selected Area,Selected Area,Selected Area,Selected Area,Selected Area,Gramercy (MN0602),Gramercy (MN0602),Gramercy (MN0602),Gramercy (MN0602),Gramercy (MN0602),Difference,Difference,Difference,Difference
 Show Reliability Data,Number,Number,Number,Percent,Percent,Number,Number,Number,Percent,Percent,Number ,Number ,Pctg. Pt. ,Pctg. Pt. 
 Show Reliability Data,Estimate,MOE ,CV ,Estimate,MOE ,Estimate,MOE ,CV ,Estimate,MOE ,Estimate,MOE ,Estimate,MOE 
"$25,000 to $34,999","209,643","4,372",1.3,6.3%,0.1%,349,165,28.7,2.5%,1.2%,"209,294 ","4,375",3.8 ,1.2
"$35,000 to $49,999","293,907","4,792",1.0,8.9%,0.1%,296,151,31.0,2.1%,1.1%,"293,611 ","4,794",6.8 ,1.1
"$50,000 to $74,999","439,817","6,207",0.9,13.3%,0.2%,901,322,21.7,6.5%,2.3%,"438,916 ","6,215",6.8 ,2.3
"$75,000 to $99,999","358,219","5,234",0.9,10.8%,0.2%,"1,055",306,17.7,7.6%,2.2%,"357,164 ","5,243",3.2 ,2.2
"$100,000 to $149,999","505,509","6,617",0.8,15.3%,0.2%,"2,062",448,13.2,14.9%,3.1%,"503,447 ","6,632",0.4,3.1
"$150,000 to $199,999","308,697","5,232",1.0,9.3%,0.2%,"1,572",350,13.5,11.4%,2.4%,"307,125 ","5,244",-2.1,2.4
"$200,000 or more","555,974","6,266",0.7,16.8%,0.2%,"5,444",689,7.7,39.5%,4.3%,"550,530 ","6,304",-22.7 ,4.3
Median household income (dollars) ,"79,713",602,0.5,,,"153,720","16,568",6.6,,,"-74,007 ","16,579",,
Mean household income (dollars) ,"127,894",973,0.5,,,"219,042","29,939",8.3,,,"-91,148 ","29,955",,
,,,,,,,,,,,
Households with Social Security,"912,055","5,856",0.4,27.5%,0.2%,"2,932",527,10.9,21.2%,3.6%,"909,123 ","5,880",6.3 ,3.6
Households with retirement income,"603,503","6,532",0.7,18.2%,0.2%,"2,272",386,10.3,16.5%,2.6%,"601,231 ","6,543",1.7,2.6
Households with Supplemental Security Income,"241,563","4,666",1.2,7.3%,0.1%,271,175,39.3,2.0%,1.3%,"241,292 ","4,669",5.3 ,1.3
Households with cash public assistance income,"184,595","4,422",1.5,5.6%,0.1%,384,328,52.0,2.8%,2.4%,"184,211 ","4,434",2.8 ,2.4
Households with Food Stamp/SNAP benefits in the past 12 months,"668,761","7,338",0.7,20.2%,0.2%,907,475,31.8,6.6%,3.4%,"667,854 ","7,353",13.6 ,3.4
,,,,,,,,,,,
Family households,"1,928,865","9,723",0.3,100.0%,,"4,230",600,8.6,100.0%,,"1,924,635 ","9,741",0.0,0.0
"Family income of less than $10,000","93,698","3,154",2.0,4.9%,0.2%,49,73,90.6,1.2%,1.7%,"93,649 ","3,155",3.7 ,1.7
"$10,000 to $14,999","51,989","2,439",2.9,2.7%,0.1%,17,28,100.1,0.4%,0.7%,"51,972 ","2,439",2.3 ,0.7
"$15,000 to $24,999","114,523","3,473",1.8,5.9%,0.2%,231,311,81.8,5.5%,7.3%,"114,292 ","3,487",0.4,7.3
"$25,000 to $34,999","120,542","3,396",1.7,6.2%,0.2%,15,23,93.2,0.4%,0.5%,"120,527 ","3,396",5.8 ,0.5
"$35,000 to $49,999","178,753","3,762",1.3,9.3%,0.2%,0,,,,,,,9.3,0.2
"$50,000 to $74,999","265,498","4,727",1.1,13.8%,0.2%,102,82,48.8,2.4%,1.9%,"265,396 ","4,728",11.4 ,1.9
"$75,000 to $99,999","216,851","3,776",1.1,11.2%,0.2%,154,107,42.4,3.6%,2.5%,"216,697 ","3,778",7.6 ,2.5
"$100,000 to $149,999","313,618","5,166",1.0,16.3%,0.3%,408,217,32.3,9.6%,4.9%,"313,210 ","5,171",6.7 ,4.9
"$150,000 to $199,999","199,982","3,789",1.2,10.4%,0.2%,668,209,19.0,15.8%,4.4%,"199,314 ","3,795",-5.4 ,4.4
"$200,000 or more","373,411","6,236",1.0,19.4%,0.3%,"2,586",484,11.4,61.1%,7.5%,"370,825 ","6,255",-41.7 ,7.5
Median family income (dollars) ,"90,619",748,0.5,,,"200,000+",,,,,,,,
,,,,,,,,,,,
Nonfamily households,"1,384,451","8,816",0.4,100.0%,,"9,568",790,5.0,100.0%,,"1,374,883 ","8,851",0.0,0.0
Median nonfamily income (dollars) ,"59,947",715,0.7,,,"115,550","10,824",5.7,,,"-55,603 ","10,848",,
,,,,,,,,,,,
Per capita income (dollars) ,"50,776",390,0.5,,,"115,786","16,398",8.6,,,"-65,010 ","16,403",,


Earnings 
 Show Reliability Data,Selected Area,Selected Area,Selected Area,Selected Area,Selected Area,Gramercy (MN0602),Gramercy (MN0602),Gramercy (MN0602),Gramercy (MN0602),Gramercy (MN0602),Difference,Difference,Difference,Difference
 Show Reliability Data,Number,Number,Number,Percent,Percent,Number,Number,Number,Percent,Percent,Number ,Number ,Pctg. Pt. ,Pctg. Pt. 
 Show Reliability Data,Estimate,MOE ,CV ,Estimate,MOE ,Estimate,MOE ,CV ,Estimate,MOE ,Estimate,MOE ,Estimate,MOE 
Median earnings for workers (dollars) ,"50,450",327,0.4,,,"100,000+",,,,,,,,
"Median earnings for male full-time, year-round workers (dollars) ","71,948",437,0.4,,,"100,000+",,,,,,,,
"Median earnings for female full-time, year-round workers (dollars) ","67,425",657,0.6,,,"100,000+",,,,,,,,


Housing Occupancy
 Show Reliability Data,Selected Area,Selected Area,Selected Area,Selected Area,Selected Area,Gramercy (MN0602),Gramercy (MN0602),Gramercy (MN0602),Gramercy (MN0602),Gramercy (MN0602),Difference,Difference,Difference,Difference
