New York City


Sex and Age
 Show Reliability Data,Selected Area,Selected Area,Selected Area,Selected Area,Selected Area,East Harlem (South) (MN1101),East Harlem (South) (MN1101),East Harlem (South) (MN1101),East Harlem (South) (MN1101),East Harlem (South) (MN1101),Difference,Difference,Difference,Difference
 Show Reliability Data,Number,Number,Number,Percent,Percent,Number,Number,Number,Percent,Percent,Number ,Number ,Pctg. Pt. ,Pctg. Pt. 
 Show Reliability Data,Estimate,MOE ,CV ,Estimate,MOE ,Estimate,MOE ,CV ,Estimate,MOE ,Estimate,MOE ,Estimate,MOE 
"$150,000 to $199,999","308,697","5,232",1.0,9.3%,0.2%,"1,305",329,15.3,5.0%,1.2%,"307,392 ","5,242",4.3 ,1.2
"$200,000 or more","555,974","6,266",0.7,16.8%,0.2%,"3,167",439,8.4,12.2%,1.6%,"552,807 ","6,281",4.6 ,1.6
Median household income (dollars) ,"79,713",602,0.5,,,"42,076","4,352",6.3,,,"37,637 ","4,393",,
Mean household income (dollars) ,"127,894",973,0.5,,,"91,582","9,079",6.0,,,"36,312 ","9,131",,
,,,,,,,,,,,
Households with Social Security,"912,055","5,856",0.4,27.5%,0.2%,"7,591","1,119",9.0,29.3%,4.1%,"904,464 ","5,962",-1.8,4.1
Households with retirement income,"603,503","6,532",0.7,18.2%,0.2%,"3,624",535,9.0,14.0%,1.9%,"599,879 ","6,554",4.2 ,1.9
Households with Supplemental Security Income,"241,563","4,666",1.2,7.3%,0.1%,"3,293",605,11.2,12.7%,2.2%,"238,270 ","4,705",-5.4 ,2.2
Households with cash public assistance income,"184,595","4,422",1.5,5.6%,0.1%,"2,402",540,13.7,9.3%,2.0%,"182,193 ","4,455",-3.7 ,2.0
Households with Food Stamp/SNAP benefits in the past 12 months,"668,761","7,338",0.7,20.2%,0.2%,"6,910",772,6.8,26.7%,2.7%,"661,851 ","7,378",-6.5 ,2.7
,,,,,,,,,,,
Family households,"1,928,865","9,723",0.3,100.0%,,"12,693","1,221",5.8,100.0%,,"1,916,172 ","9,799",0.0,0.0
"Family income of less than $10,000","93,698","3,154",2.0,4.9%,0.2%,"1,397",511,22.2,11.0%,3.9%,"92,301 ","3,195",-6.1 ,3.9
"$10,000 to $14,999","51,989","2,439",2.9,2.7%,0.1%,"1,347",909,41.0,10.6%,7.1%,"50,642 ","2,603",-7.9 ,7.1
"$15,000 to $24,999","114,523","3,473",1.8,5.9%,0.2%,"1,272",363,17.3,10.0%,2.7%,"113,251 ","3,492",-4.1 ,2.7
"$25,000 to $34,999","120,542","3,396",1.7,6.2%,0.2%,"1,203",367,18.5,9.5%,2.7%,"119,339 ","3,416",-3.3 ,2.7
