New York City


Sex and Age
 Show Reliability Data,Selected Area,Selected Area,Selected Area,Selected Area,Selected Area,Midtown South-Flatiron-Union Square (MN0501),Midtown South-Flatiron-Union Square (MN0501),Midtown South-Flatiron-Union Square (MN0501),Midtown South-Flatiron-Union Square (MN0501),Midtown South-Flatiron-Union Square (MN0501),Difference,Difference,Difference,Difference
 Show Reliability Data,Number,Number,Number,Percent,Percent,Number,Number,Number,Percent,Percent,Number ,Number ,Pctg. Pt. ,Pctg. Pt. 
 Show Reliability Data,Estimate,MOE ,CV ,Estimate,MOE ,Estimate,MOE ,CV ,Estimate,MOE ,Estimate,MOE ,Estimate,MOE 
Average family size ,3.27,0.01,0.2,,,2.68,0.42,9.6,,,0.59 ,0.42,,
,,,,,,,,,,,


Employment Status
 Show Reliability Data,Selected Area,Selected Area,Selected Area,Selected Area,Selected Area,Midtown South-Flatiron-Union Square (MN0501),Midtown South-Flatiron-Union Square (MN0501),Midtown South-Flatiron-Union Square (MN0501),Midtown South-Flatiron-Union Square (MN0501),Midtown South-Flatiron-Union Square (MN0501),Difference,Difference,Difference,Difference
 Show Reliability Data,Number,Number,Number,Percent,Percent,Number,Number,Number,Percent,Percent,Number ,Number ,Pctg. Pt. ,Pctg. Pt. 
 Show Reliability Data,Estimate,MOE ,CV ,Estimate,MOE ,Estimate,MOE ,CV ,Estimate,MOE ,Estimate,MOE ,Estimate,MOE 
Population 16 years and over,"6,960,966","2,408",0.0,100.0%,,"27,496","1,300",2.9,100.0%,,"6,933,470 ","2,737",0.0,0.0
In labor force,"4,412,075","10,974",0.2,63.4%,0.2%,"20,526","1,277",3.8,74.7%,3.0%,"4,391,549 ","11,048",-11.3 ,3.0
Civilian labor force,"4,408,428","10,977",0.2,63.3%,0.2%,"20,526","1,277",3.8,74.7%,3.0%,"4,387,902 ","11,051",-11.4 ,3.0
Employed,"4,070,496","12,696",0.2,58.5%,0.2%,"19,291","1,278",4.0,70.2%,3.3%,"4,051,205 ","12,760",-11.7 ,3.3
Unemployed,"337,932","6,401",1.2,4.9%,0.1%,"1,235",307,15.1,4.5%,1.1%,"336,697 ","6,408",0.4,1.1
Armed Forces,"3,647",577,9.6,0.1%,0.1%,0,,,,,,,0.1,0.1
Not in labor force,"2,548,891","11,162",0.3,36.6%,0.2%,"6,970",589,5.1,25.3%,1.8%,"2,541,921 ","11,178",11.3 ,1.8
,,,,,,,,,,,
Civilian labor force,"4,408,428","10,977",0.2,100.0%,,"20,526","1,277",3.8,100.0%,,"4,387,902 ","11,051",0.0,0.0
Unemployed (percent equivalent to unemployment rate),"337,932","6,401",1.2,7.7%,0.1%,"1,235",307,15.1,6.0%,1.4%,"336,697 ","6,408",1.7 ,1.4
,,,,,,,,,,,
Females 16 years and over,"3,668,464","1,624",0.0,100.0%,,"14,056",925,4.0,100.0%,,"3,654,408 ","1,869",0.0,0.0
In labor force,"2,175,500","6,986",0.2,59.3%,0.2%,"10,091",864,5.2,71.8%,3.9%,"2,165,409 ","7,039",-12.5 ,3.9
Civilian labor force,"2,174,950","6,996",0.2,59.3%,0.2%,"10,091",864,5.2,71.8%,3.9%,"2,164,859 ","7,049",-12.5 ,3.9
Employed,"2,016,577","8,179",0.2,55.0%,0.2%,"9,403",868,5.6,66.9%,4.3%,"2,007,174 ","8,225",-11.9 ,4.3
,,,,,,,,,,,
Own children under 6 years,"564,614","3,422",0.4,100.0%,,"1,027",312,18.5,100.0%,,"563,587 ","3,436",0.0,0.0
